_id;cui;label;pmid;title
5bad0e7c4bca051b2426e8af;C0002395;Alzheimer's Disease;20394760;Biomarkers in translational research of Alzheimer's disease.
5bad0ec44bca051b24273ae9;C0002395;Alzheimer's Disease;18018616;[Autopsy case of atypical type of alzheimer's disease clinically diagnosed as corticobasal degeneration].
5bad0eb24bca051b24272c4d;C0002395;Alzheimer's Disease;15525637;Anthraquinones inhibit tau aggregation and dissolve Alzheimer's paired helical filaments in vitro and in cells.
5bad0eb54bca051b24272f3e;C0002395;Alzheimer's Disease;16033913;Molecular diagnosis of autosomal dominant early onset Alzheimer's disease: an update.
5bad0fb84bca051b2427a6ab;C0750901;Alzheimer Disease, Early Onset;16033913;Molecular diagnosis of autosomal dominant early onset Alzheimer's disease: an update.
5bad0f784bca051b24279213;C0002395;Alzheimer's Disease;27088644;Association Between Genetic Traits for Immune-Mediated Diseases and Alzheimer Disease.
5bad0fc34bca051b2427aa72;C0494463;Alzheimer Disease, Late Onset;27088644;Association Between Genetic Traits for Immune-Mediated Diseases and Alzheimer Disease.
5bad0f1c4bca051b24276d53;C0002395;Alzheimer's Disease;23322030;Association between interleukin-1α C(-889)T polymorphism and Alzheimer's disease: a meta-analysis including 12,817 subjects.
5bad0fb94bca051b2427a72f;C0750901;Alzheimer Disease, Early Onset;23322030;Association between interleukin-1α C(-889)T polymorphism and Alzheimer's disease: a meta-analysis including 12,817 subjects.
5bad0f114bca051b24276881;C0002395;Alzheimer's Disease;21351296;Depressive symptoms predict longitudinal change in executive control but not memory.
5bad0fa44bca051b24279fdb;C0002395;Alzheimer's Disease;29070659;Serum neurofilament light in familial Alzheimer disease
5bad0fd74bca051b2427b1df;C0276496;Familial Alzheimer Disease (FAD);29070659;Serum neurofilament light in familial Alzheimer disease
5bad0fd34bca051b2427aee9;C0276496;Familial Alzheimer Disease (FAD);8012386;Altered cleavage and secretion of a recombinant beta-APP bearing the Swedish familial Alzheimer's disease mutation.
5bad0e8a4bca051b242701ae;C0002395;Alzheimer's Disease;7561919;Spastic tetraplegia as an initial manifestation of familial Alzheimer's disease.
5bad0fd34bca051b2427af0a;C0276496;Familial Alzheimer Disease (FAD);7561919;Spastic tetraplegia as an initial manifestation of familial Alzheimer's disease.
5bad0e9f4bca051b24271a82;C0002395;Alzheimer's Disease;11406005;Efficacy and safety of nicotine on Alzheimer's disease patients.
5bad0fb84bca051b2427a6c4;C0750901;Alzheimer Disease, Early Onset;17290105;CSF neurofilaments in frontotemporal dementia compared with early onset Alzheimer's disease and controls.
5bad0ed94bca051b24274a7e;C0002395;Alzheimer's Disease;19286555;A recessive mutation in the APP gene with dominant-negative effect on amyloidogenesis.
5bad0fd44bca051b2427b0e4;C0276496;Familial Alzheimer Disease (FAD);19286555;A recessive mutation in the APP gene with dominant-negative effect on amyloidogenesis.
5bad0e814bca051b2426f3ac;C0002395;Alzheimer's Disease;2176040;[Clinical characteristics of familial and sporadic forms of Alzheimer's disease].
5bad0fd34bca051b2427ae98;C0276496;Familial Alzheimer Disease (FAD);2176040;[Clinical characteristics of familial and sporadic forms of Alzheimer's disease].
5bad0fd34bca051b2427aea6;C0276496;Familial Alzheimer Disease (FAD);1680304;Genetic linkage analysis of nerve growth factor (beta) in familial Alzheimer's disease.
5bad0ed14bca051b242744f2;C0002395;Alzheimer's Disease;18549781;ApoE promotes the proteolytic degradation of Abeta.
5bad0fb84bca051b2427a6e7;C0750901;Alzheimer Disease, Early Onset;19276550;Enhancement of activation of caspases by presenilin 1 gene mutations and its inhibition by secretase inhibitors.
5bad0e984bca051b242713d2;C0002395;Alzheimer's Disease;10912224;APOE epsilon 4 influences the manifestation of Alzheimer's disease in adults with Down's syndrome.
5bad0e874bca051b2426fdb9;C0002395;Alzheimer's Disease;7891423;Low levels of serum apolipoprotein A I and A II in senile dementia.
