pmid;cuis
20394760;"[""C0181741:1"",""C0006675:1"",""C3641222:1"",""C1521733:2"",""C1825598:1"",""C0087111:2"",""C0439064:1"",""C0459385:1"",""C0205170:2"",""C3540512:5"",""C0205171:1"",""C0016884:1"",""C0332272:2"",""C0012634:5"",""C0005516:6"",""C0870444:1"",""C0205615:1"",""C1514544:1"",""C0332149:1"",""C0002716:2"",""C0333584:1"",""C0040223:1"",""C0205307:1"",""C2754100:1"",""C0445383:1"",""C0205172:1"",""C0750501:1"",""C1516048:1"",""C0449258:1"",""C0681890:2"",""C1880156:1"",""C0205448:1"",""C1096775:1"",""C0304231:1"",""C0162367:1"",""C0019904:1"",""C0549177:2"",""C0035173:1"",""C1521738:1"",""C0560005:3"",""C0205291:1"",""C1261322:1"",""C0205314:1"",""C0205393:2"",""C2981279:1"",""C1285529:1"",""C0242606:1"",""C0205146:2"",""C0205396:3"",""C0679698:1"",""C0679250:1"",""C1293116:1"",""C0039796:1"",""C0027361:5"",""C1880022:1"",""C0005889:2"",""C1517741:1"",""C0860630:1"",""C0392747:2"",""C0242656:2"",""C1542147:1"",""C1705543:2"",""C1707391:1"",""C3827682:1"",""C0449445:1"",""C0237401:1"",""C0205469:5"",""C0443299:1"",""C3245505:1"",""C0002395:1"",""C3484390:1"",""C1518422:2"",""C2363430:1"",""C0035168:2"",""C0600688:2"",""C0683454:1"",""C1707689:1"",""C0024485:1"",""C1521828:1"",""C0441712:2"",""C0582205:1"",""C0033204:1"",""C0127400:1"",""C1511884:1"",""C1280519:1"",""C1709630:2""]"
18018616;"[""C0393570:1"",""C0205090:1"",""C0439234:1"",""C0333641:1"",""C0575081:1"",""C0039082:1"",""C0001779:1"",""C0441988:1"",""C0741302:1"",""C1518422:2"",""C0221198:1"",""C0442030:1"",""C0205234:1"",""C0006104:1"",""C0233794:1"",""C0580836:1"",""C0001613:2"",""C0449438:1"",""C0013119:1"",""C0086582:1"",""C0002395:2"",""C0332142:1"",""C0205393:1"",""C0175173:1"",""C1261074:1"",""C0228207:1"",""C0030705:1"",""C0006982:3"",""C0026650:1"",""C0230370:1"",""C0235946:1"",""C0205146:1"",""C0205250:1"",""C1281009:1"",""C0205172:1""]"
15525637;"[""C0205198:4"",""C0041249:2"",""C1511636:1"",""C0205418:1"",""C1709793:1"",""C0596988:1"",""C0441436:1"",""C0011015:1"",""C0027882:1"",""C0596402:1"",""C1510438:4"",""C0336791:1"",""C1705242:1"",""C0597162:8"",""C0449445:1"",""C0042295:2"",""C2700400:1"",""C0949664:1"",""C3539125:1"",""C0815000:1"",""C0026019:1"",""C0023621:1"",""C1293130:1"",""C1874451:1"",""C0205161:1"",""C0521115:1"",""C0085732:2"",""C0085401:1"",""C0205469:1"",""C1328819:1"",""C1274040:1"",""C0220781:2"",""C1539044:1"",""C0010834:1"",""C0037633:1"",""C2827421:1"",""C1527148:1"",""C0003174:1"",""C0205447:1"",""C0600495:1"",""C1511790:1"",""C1518422:1"",""C0015576:1"",""C0596020:1"",""C0085752:1"",""C0013982:1"",""C0439064:1"",""C0205177:1"",""C0442504:1"",""C0205263:1"",""C0002395:1"",""C2348205:1"",""C0016315:2"",""C1628982:1"",""C0026046:1"",""C0740116:1"",""C0087111:1"",""C0952039:1"",""C1514468:1"",""C0243077:3""]"
16033913;"[""C3272453:1"",""C1511726:2"",""C2745955:1"",""C1549114:1"",""C1274040:1"",""C0002395:2"",""C0015576:4"",""C1880177:1"",""C0085151:1"",""C2347026:1"",""C1418985:5"",""C0033204:2"",""C3538722:4"",""C0079941:1"",""C1364818:1"",""C0015295:1"",""C0299212:1"",""C0439751:1"",""C0019409:1"",""C1527180:1"",""C0750901:1"",""C2985478:1"",""C0079411:1"",""C0243161:2"",""C0205454:1"",""C0205451:1"",""C1706907:1"",""C1707478:1"",""C0449851:1"",""C0528480:1"",""C0596142:1"",""C0277793:1"",""C0596130:1"",""C0026882:6"",""C0034037:1"",""C0439234:2"",""C1418986:2"",""C1517331:1"",""C0439544:2"",""C0001779:1"",""C0205449:1"",""C0868928:3"",""C0017337:1"",""C0205314:1""]"
27088644;"[""C1512888:1"",""C0011854:1"",""C0079809:1"",""C2350277:2"",""C0679646:1"",""C0006104:3"",""C1709701:1"",""C0035647:2"",""C1817756:1"",""C0019763:2"",""C0450989:2"",""C0439849:2"",""C1522577:1"",""C1707478:1"",""C1707455:1"",""C2347946:1"",""C0003873:1"",""C0002395:1"",""C0002085:1"",""C0314603:2"",""C0442805:2"",""C0085400:2"",""C0027361:1"",""C0205127:2"",""C1880720:4"",""C0376298:1"",""C3842590:3"",""C0021053:3"",""C1511726:2"",""C1519595:1"",""C0017337:3"",""C0028873:1"",""C0001554:1"",""C0007570:1"",""C1707689:1"",""C2603361:1"",""C0030705:1"",""C0449258:1"",""C0205099:1"",""C0699748:1"",""C0679716:1"",""C2603343:1"",""C0127400:2"",""C0752046:1"",""C3841798:1"",""C1881839:1"",""C0450380:1"",""C0014507:2"",""C0205419:1"",""C2827447:1"",""C1280500:1"",""C0009324:1"",""C0442749:1"",""C0015576:1"",""C1948020:2"",""C0424093:1"",""C2828008:1"",""C0205172:1"",""C0010346:3"",""C0205454:1"",""C1522666:2"",""C2699427:3"",""C2926606:1"",""C0205469:2"",""C0008972:1"",""C0011900:1"",""C0679575:1"",""C0205156:1"",""C0333463:1"",""C0086597:1"",""C0030551:1"",""C0459443:1"",""C3829447:1"",""C0445247:1"",""C0242485:1"",""C1522492:1"",""C0243161:1"",""C1515021:1"",""C1510747:1"",""C0497327:1"",""C0887950:1"",""C0439064:1"",""C1709380:2"",""C0205225:1"",""C1274040:3"",""C0449738:1"",""C0494463:1"",""C1516691:2"",""C1427103:3"",""C3817553:1"",""C0599755:1"",""C0122044:1"",""C0037455:1"",""C0549177:1"",""C0338656:1"",""C0033860:3"",""C0021368:2"",""C0205393:1"",""C3840271:1"",""C0017262:3"",""C1522138:1"",""C0205210:1"",""C0012634:1""]"
23322030;"[""C2062760:1"",""C3161035:2"",""C0242356:1"",""C3827995:1"",""C0920317:2"",""C0205258:1"",""C1882417:3"",""C0002395:1"",""C0034036:1"",""C0021755:4"",""C0009667:1"",""C0205396:1"",""C2349200:1"",""C0750901:1"",""C0333052:1"",""C0069590:1"",""C0442768:1"",""C0220922:1"",""C0871424:1"",""C0007457:1"",""C0439849:4"",""C0282407:1"",""C1527180:1"",""C1138432:1"",""C0680243:1"",""C0335141:1"",""C0036397:1"",""C1706852:1"",""C1514811:1"",""C1708715:1"",""C0282111:1"",""C0028873:1"",""C0002085:2"",""C0237881:3"",""C1274040:1"",""C0078988:1"",""C0439810:1""]"
21351296;"[""C1515021:1"",""C0871735:1"",""C0205275:1"",""C3161035:1"",""C0439234:1"",""C1551358:1"",""C0006754:1"",""C0679604:1"",""C1707478:1"",""C0815271:1"",""C1551338:1"",""C0935584:3"",""C0021822:1"",""C0332148:1"",""C0087136:1"",""C0030660:1"",""C1442488:2"",""C0086132:5"",""C3540678:1"",""C0344315:1"",""C0205134:1"",""C1270972:2"",""C0439836:2"",""C0009240:2"",""C1336646:1"",""C1518422:4"",""C0001779:1"",""C0439849:2"",""C1999167:1"",""C3816449:1"",""C1274040:1"",""C0009586:1"",""C0562359:1"",""C0018270:1"",""C0441889:1"",""C2362652:1"",""C0451184:1"",""C0011581:1"",""C0332149:1"",""C0035648:1"",""C0002395:1"",""C0443172:1"",""C0580836:1"",""C0004083:1"",""C0449719:1"",""C0205127:2"",""C0860630:1"",""C0013621:1"",""C0205451:1"",""C0025663:1"",""C0079399:1"",""C1550449:1"",""C0871208:1"",""C0497327:1"",""C0027361:1"",""C0040604:1"",""C0042531:1"",""C0025260:2"",""C0205453:1"",""C0205171:2"",""C2698872:1""]"
29070659;"[""C0018017:1"",""C0010362:1"",""C0206243:1"",""C2257086:1"",""C0276496:1"",""C0449438:1"",""C1707478:1"",""C1441506:1"",""C0450337:1"",""C1707429:1"",""C1274040:1"",""C0679560:1"",""C1113695:1"",""C0439064:1"",""C1442488:1"",""C2986416:3"",""C0002395:1"",""C1638312:1"",""C0872367:1"",""C0451306:1"",""C0679646:2"",""C0023189:1"",""C0079809:3"",""C0005516:2"",""C1417668:8"",""C1515051:1"",""C3842586:1"",""C0026882:3"",""C0031082:1"",""C3247466:1"",""C2985478:4"",""C2697666:1"",""C0004083:1"",""C0205246:1"",""C0439234:1"",""C1521828:2"",""C0024485:3"",""C1457887:3"",""C0451074:1"",""C0443211:1"",""C0229671:5"",""C0687676:1"",""C3538722:1"",""C1510941:1"",""C3161035:1"",""C0027361:1"",""C0079399:1"",""C1418985:1"",""C0439849:1"",""C0699749:2"",""C0001779:1"",""C0449851:1"",""C0015576:1"",""C0444667:1"",""C0039593:1"",""C0027746:1"",""C0035647:1"",""C0439793:2"",""C0231221:2"",""C0750572:1"",""C0235946:1"",""C0231220:3"",""C0205250:1"",""C0683149:3"",""C0333641:2"",""C0027834:1"",""C1516691:3"",""C1279919:1""]"
8012386;"[""C1833334:2"",""C0010813:3"",""C1514468:2"",""C2362547:2"",""C1518422:1"",""C1327616:2"",""C2348205:1"",""C1522492:1"",""C0443172:1"",""C0596988:2"",""C0205556:1"",""C0205447:1"",""C1515926:1"",""C0220781:1"",""C3538722:1"",""C0205147:1"",""C0205088:1"",""C0276496:1"",""C0007634:2"",""C1265611:1"",""C3247466:1"",""C1159342:2"",""C1710263:2"",""C0085151:1"",""C0442805:2"",""C0027361:1"",""C1522485:1"",""C0017337:1"",""C1514798:1"",""C0449913:1"",""C0598429:1"",""C0332255:2"",""C0026882:3"",""C1274040:1"",""C0439175:1"",""C0033268:1"",""C0002518:1"",""C0012634:1"",""C0205314:1"",""C0014442:1"",""C1883559:1""]"
7561919;"[""C0276496:1"",""C0439064:1"",""C0002395:1"",""C1279901:1"",""C0039729:1"",""C0205319:1"",""C0426970:1"",""C0085400:1"",""C0004398:1"",""C0443306:1"",""C0205388:1"",""C0205447:1"",""C0205087:1"",""C0030705:1"",""C0337514:1"",""C0205265:2"",""C0220825:1"",""C0333463:1"",""C0205419:1"",""C0021044:1"",""C0205314:1"",""C0205448:1"",""C0175173:1"",""C0575081:2"",""C0497327:1"",""C0439234:1"",""C0205410:1"",""C0936236:1""]"
11406005;"[""C0038454:1"",""C1709941:1"",""C1955832:1"",""C3829466:1"",""C0013072:1"",""C1883254:1"",""C1428114:1"",""C2986411:1"",""C0008976:3"",""C0206034:1"",""C1707478:1"",""C0010995:1"",""C0242894:1"",""C0002395:4"",""C1518422:3"",""C0001041:1"",""C0205447:1"",""C0037369:1"",""C0233794:1"",""C0358855:1"",""C0085732:1"",""C0032042:1"",""C0025260:1"",""C0332257:1"",""C0175233:1"",""C0332306:1"",""C0497327:1"",""C0001779:1"",""C0001554:2"",""C0599779:1"",""C0036043:2"",""C0879626:1"",""C2362652:1"",""C1706907:1"",""C0028040:8"",""C0026447:1"",""C3850123:1"",""C1280500:2"",""C0441833:1"",""C0205225:1"",""C1274040:1"",""C3827682:1"",""C1881674:1"",""C0205555:1"",""C0032854:1"",""C0030705:1"",""C0936012:1"",""C1518527:1"",""C0597664:1"",""C1511726:1"",""C1512693:1"",""C0221198:1"",""C0205172:1"",""C1522492:2"",""C1516691:1"",""C1280519:1"",""C1283071:1"",""C0018017:1"",""C0332173:1"",""C0035648:1"",""C0242801:1"",""C0027361:2"",""C1443086:1"",""C0011269:1"",""C0034693:1"",""C0332185:1""]"
17290105;"[""C1998882:1"",""C1706907:1"",""C1417666:1"",""C0030705:4"",""C0005516:2"",""C2827504:1"",""C0205250:3"",""C0027834:6"",""C0750901:1"",""C1515021:2"",""C1550501:1"",""C1707478:1"",""C0441889:1"",""C1864233:2"",""C3553502:1"",""C2003903:2"",""C0033213:1"",""C0449851:1"",""C0016884:1"",""C2986479:2"",""C0444706:1"",""C0338451:7"",""C0441833:1"",""C0236642:1"",""C1274040:1"",""C1413603:2"",""C1420192:2"",""C1540677:1"",""C3540512:8"",""C1705242:3"",""C0031715:1"",""C1505576:3"",""C3245505:1"",""C0019409:1"",""C0040005:1"",""C1417668:3""]"
19286555;"[""C0001898:1"",""C1705543:2"",""C0002395:1"",""C0596142:1"",""C0042285:1"",""C0033268:1"",""C0242538:2"",""C3828842:1"",""C1449651:1"",""C2349975:1"",""C0001554:1"",""C0524899:1"",""C0276496:1"",""C2741673:1"",""C3245505:1"",""C1444783:1"",""C0449774:1"",""C1706803:1"",""C0026882:4"",""C0002716:1"",""C1883559:1"",""C0085151:1"",""C0599883:1"",""C0220908:1"",""C0205250:1"",""C1442792:3"",""C0030956:1"",""C0205418:1"",""C0012634:1"",""C3538722:3"",""C0314603:1"",""C0220781:1"",""C1705285:1"",""C1280500:2"",""C1533691:1"",""C2986417:1"",""C0019904:2"",""C0019425:2"",""C0205171:1""]"
2176040;"[""C1705242:2"",""C0027765:1"",""C0868928:3"",""C0439660:2"",""C0205088:1"",""C3715213:1"",""C0439544:1"",""C0497327:2"",""C0242960:1"",""C0276496:1"",""C1964257:1"",""C0439234:1"",""C0012634:1"",""C0002395:1"",""C0449440:1"",""C1707478:1"",""C1279901:1"",""C0205319:1"",""C0678594:2"",""C0449258:1"",""C0024779:1"",""C0449851:1"",""C0205422:2"",""C0699749:1"",""C2350015:1"",""C0702111:1"",""C0205280:1"",""C0205210:1"",""C1706076:1"",""C1306673:1""]"
1680304;"[""C0087111:1"",""C0936012:1"",""C0008664:1"",""C3247466:4"",""C1417719:2"",""C0015576:3"",""C0750489:1"",""C1284077:1"",""C0017337:1"",""C0439810:1"",""C1708726:1"",""C0205163:2"",""C0018270:1"",""C0332185:1"",""C0680022:2"",""C0439234:1"",""C1708096:1"",""C0027753:3"",""C1422662:1"",""C0150097:1"",""C0392760:2"",""C0205448:1"",""C0004398:1"",""C1518422:2"",""C1833334:1"",""C1332838:1"",""C0750484:1"",""C0699748:1"",""C0276496:1"",""C1744691:1"",""C2700441:1"",""C0085732:1"",""C1705242:1"",""C0001779:1"",""C0038952:1"",""C0035268:1"",""C3810854:1"",""C1274040:1"",""C2333949:1"",""C0205087:4"",""C1704243:1"",""C1883708:1""]"
18549781;"[""C0392756:1"",""C1705543:8"",""C0206116:1"",""C2987634:1"",""C0597304:1"",""C0683465:1"",""C0001554:1"",""C1701901:1"",""C1175625:2"",""C1511545:1"",""C0035647:1"",""C1749467:1"",""C0699900:4"",""C0243192:1"",""C0019868:1"",""C0030956:1"",""C0025250:1"",""C0014442:1"",""C0439849:2"",""C1708715:1"",""C0443526:1"",""C1516240:1"",""C1511726:1"",""C0002395:1"",""C0013109:1"",""C0449438:1"",""C0233794:1"",""C0035820:1"",""C0003595:6"",""C0026809:1"",""C2349975:1"",""C0006104:3"",""C0021669:1"",""C1612060:1"",""C0001779:2"",""C0449297:2""]"
19276550;"[""C3484390:1"",""C0241888:1"",""C1880371:1"",""C0171484:1"",""C1511726:1"",""C1280500:2"",""C1420510:1"",""C1150134:1"",""C0000894:2"",""C1999216:2"",""C0205447:1"",""C0020281:1"",""C0205164:2"",""C0750502:1"",""C0521108:1"",""C0007634:3"",""C0007620:1"",""C1437927:3"",""C0702240:1"",""C1254351:1"",""C0205448:1"",""C0150312:1"",""C0547044:1"",""C0442805:1"",""C0162638:5"",""C0001554:3"",""C0596988:7"",""C1720986:2"",""C0596611:3"",""C0449719:1"",""C0379528:1"",""C0078939:1"",""C0439064:1"",""C0033414:1"",""C1418985:10"",""C0441655:3"",""C0441712:1"",""C0443127:1"",""C0076374:1"",""C0750901:1"",""C0033268:1"",""C1159825:1"",""C3816499:1"",""C0015127:1""]"
10912224;"[""C0441833:1"",""C0205212:1"",""C0035648:1"",""C0392756:2"",""C1706907:1"",""C0205319:2"",""C0439849:2"",""C0028873:1"",""C0002395:3"",""C1412481:2"",""C2347026:1"",""C3825158:1"",""C0849355:1"",""C0439234:1"",""C0001779:2"",""C0443289:1"",""C0332185:1"",""C1707478:1"",""C3540473:1"",""C0439603:1"",""C0039082:7"",""C0052201:1"",""C0442809:1"",""C0034037:1"",""C0449851:1"",""C1979886:1"",""C0027361:1"",""C0497327:3"",""C0017431:1"",""C0920317:2"",""C0001675:9"",""C0860630:3"",""C1511726:1"",""C0750502:2"",""C1518422:5"",""C3642141:1"",""C1524062:1"",""C0003595:3"",""C1274040:2""]"
7891423;"[""C0229671:2"",""C0392885:1"",""C0441833:5"",""C0085201:3"",""C2003903:1"",""C1518422:1"",""C0009932:1"",""C0002395:1"",""C0003592:1"",""C0023822:1"",""C0003591:1"",""C0441889:2"",""C0205422:1"",""C0456603:1"",""C0085202:2"",""C0030705:7"",""C0023820:1"",""C0441926:2"",""C0494463:1"",""C0011269:2"",""C3715113:1"",""C0030660:1""]"
1546130;"[""C1522138:2"",""C0027908:1"",""C0025627:1"",""C0028351:2"",""C0086582:1"",""C0205343:1"",""C0002508:1"",""C1882509:1"",""C0030705:2"",""C0441712:1"",""C0014442:3"",""C0026454:1"",""C0005532:1"",""C0497327:1"",""C0006104:1"",""C0221198:1"",""C0449444:1"",""C0150312:1"",""C0011268:1"",""C0205314:1"",""C0012634:1"",""C0344315:1"",""C0011581:1"",""C0025519:1"",""C0439793:1"",""C0002395:3"",""C3653413:1"",""C0205164:2"",""C2658720:1"",""C0001554:1"",""C0011265:1"",""C1289445:2""]"
25788394;"[""C2828008:1"",""C0497327:2"",""C1273516:1"",""C1709599:1"",""C0205447:1"",""C0242606:1"",""C0543488:1"",""C0439849:2"",""C0220781:1"",""C1522138:1"",""C0449432:1"",""C0013227:1"",""C0087113:1"",""C1708715:4"",""C0205485:1"",""C0332268:1"",""C0085400:1"",""C1280519:1"",""C0494463:1"",""C0036043:1"",""C0030705:1"",""C0457083:1"",""C1705938:1"",""C0870462:1"",""C3245505:1"",""C0015576:1"",""C1444637:1"",""C0333463:1"",""C1515655:1"",""C0087111:1"",""C0439234:1"",""C0439064:1"",""C1457887:2"",""C3826770:3"",""C0205476:1"",""C1822046:1"",""C0814812:1"",""C0006864:5"",""C0018696:1"",""C0700268:1"",""C0001554:2"",""C0348080:1"",""C1706852:1"",""C0031327:1"",""C1533691:1"",""C1704419:1""]"
12050474;"[""C2698977:1"",""C0220825:2"",""C0679823:1"",""C1707478:1"",""C0030351:1"",""C0205447:2"",""C1704787:1"",""C1516240:2"",""C0436143:1"",""C0021149:1"",""C0497327:2"",""C0025663:1"",""C0521127:2"",""C0205195:1"",""C0038580:1"",""C0597198:4"",""C0022885:1"",""C0599518:1"",""C1854569:1"",""C0750572:1"",""C2347026:1"",""C1521761:2"",""C1704243:2"",""C0013621:2"",""C0086409:2"",""C0043227:1"",""C1704729:1"",""C1706907:1"",""C0242485:1"",""C0009452:1"",""C2713234:1"",""C0494463:2"",""C0023008:1"",""C0205250:3"",""C0205210:1"",""C0041740:1"",""C0027361:1"",""C0205393:1"",""C0040223:1"",""C0026597:1"",""C1516048:1"",""C0033909:1"",""C1705242:1"",""C2347957:1"",""C0035201:1"",""C2603343:2"",""C0205251:2"",""C0025260:1"",""C1279919:1"",""C0441833:2"",""C0205449:1"",""C2936352:8"",""C1516691:2"",""C0442799:1"",""C0451022:1"",""C0004936:1"",""C0935584:1"",""C0001973:1"",""C3538928:1"",""C1550501:7"",""C0205422:2"",""C0871935:1"",""C0034869:1"",""C0229992:1"",""C0079809:1"",""C0205172:1"",""C2987487:1"",""C0004268:1"",""C0002395:4"",""C0021704:1"",""C0439855:1"",""C0542559:1"",""C0439234:1"",""C3540678:1"",""C2699349:1"",""C1274040:3"",""C0030705:2"",""C0021399:1"",""C0699784:1"",""C0027902:1"",""C0449820:3"",""C0854193:1"",""C1441547:1"",""C0205448:1"",""C3812881:1"",""C0241889:1""]"
3507557;"[""C3546245:1"",""C1522240:1"",""C1521733:1"",""C0033684:2"",""C0442805:3"",""C0205234:1"",""C0004112:4"",""C0017626:5"",""C0441712:1"",""C2346714:1"",""C0439834:1"",""C0205231:1"",""C1254351:1"",""C0007634:1"",""C0036457:2"",""C0332148:1"",""C0699748:1"",""C0220781:2"",""C0205280:1"",""C1274040:1"",""C1284077:1"",""C0017337:2"",""C0205263:1"",""C1446614:1"",""C0348080:1"",""C3714514:1"",""C1415042:2"",""C0392360:1"",""C0205250:1"",""C0002395:1"",""C0205087:1"",""C0449774:1"",""C0936012:1"",""C0162801:1"",""C0443172:1"",""C0750729:1"",""C0205145:1"",""C0035696:4"",""C0333463:2"",""C0205172:1"",""C1334043:1"",""C1522138:1"",""C0162788:1"",""C2752549:1""]"
10899427;"[""C1527180:1"",""C0002395:1"",""C0205447:1"",""C0597304:1"",""C0596142:1"",""C1522492:1"",""C1707391:1"",""C0872078:6"",""C0010813:1"",""C0276496:1"",""C1155342:1"",""C0017337:1"",""C0205166:1"",""C1527148:1"",""C0039259:1"",""C0021699:1"",""C0078939:1"",""C0599155:1"",""C0085151:1"",""C1280500:2"",""C0348080:1"",""C0033684:1"",""C1979900:1"",""C0678723:1"",""C0026559:1"",""C0105770:1"",""C0026882:3"",""C0205463:2"",""C0086982:1"",""C1704241:2"",""C0439064:1""]"
24390130;"[""C0020276:1"",""C0011744:1"",""C1511726:1"",""C0171484:2"",""C0276496:1"",""C0456603:1"",""C0010813:4"",""C0033268:2"",""C1017315:2"",""C1519623:1"",""C0442808:1"",""C0026349:1"",""C1279901:2"",""C0205145:2"",""C1514562:1"",""C0205088:1"",""C0558295:1"",""C0332282:1"",""C0596988:2"",""C3844638:1"",""C0020275:1"",""C0205250:1"",""C3247466:2"",""C0026882:3"",""C0085151:1"",""C1883559:1"",""C0037633:1"",""C0681079:1"",""C0678594:1"",""C1522240:1"",""C0028580:2"",""C0729333:1"",""C0344333:1"",""C3538722:2"",""C0596448:2""]"
