pmid;Manual Class
23613741;LOAD
23415546;FAD, EOAD, PD
22015308;LOAD, FAD
21316814;LOAD
20375137;FAD, EOAD, LOAD
15364419;FAD, EOAD, PD
15179443;LOAD
14552909;FAD, EOAD
11848684;FAD
11129341;EOAD, LOAD, FAD
10720282;FAD, EOAD, PD
9754958;FAD, PD
11443731;FAD, LOAD
11757955;FAD, LOAD
11920851;FAD, EOAD, PD
23984328;FAD, EOAD, LOAD
24650794;FAD, EOAD
23379308;FAD, EOAD
23137948;FAD, EOAD
19684239;FAD, EOAD
16921174;FAD, EOAD
17493013;FAD, EOAD
20080541;FAD, EOAD
16306245;FAD, EOAD
11165779;FAD, EOAD
14623725;FAD, EOAD
11099448;FAD, EOAD
12601712;FAD, EOAD
11398564;FAD, EOAD
19559767;FAD
19921519;FAD
11245918;FAD
23507771;EOAD, LOAD
26694580;EOAD, LOAD
17343292;EOAD, LOAD
23208452;EOAD, LOAD
17606531;EOAD, LOAD
11882748;AD
