pmid;Manual Class
2360411;AD
7790979;AD
14720173;AD
15910550;FAD
21709248;FAD
23532874;AD
23850330;FAD, EOAD, LOAD
24217277;AD
24967550;AD
25533477;AD
26718979;AD
27143430;LOAD
27213057;AD
22614246;AD
25164377;FAD, EOAD
28143566;FAD
12670422;FAD
27671875;AD
23831058;AD
24117480;AD
28547865;AD
25531153;AD
25752209;AD
27127658;AD
23314940;AD
28004889;AD
27984697;AD
25934229;AD
23326437;AD
20383142;AD
19689163;AD
20454932;AD
16914866;AD
20523048;AD
19955704;AD
21636582;AD
19747159;AD
21047545;AD
19500576;AD
16371011;AD
18258207;AD
12106813;AD
12020857;AD
10936685;AD
10332536;AD
3568708;PD
